USPS	GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                    
IN	18155	00450392	Switzerland County	10613	4969	571436429	7267108	     220.633	       2.806	 38.825846	 -85.029679                                                                                      
IN	18157	00450393	Tippecanoe County	172780	71096	1294491529	8902814	     499.806	       3.437	 40.389260	 -86.893943                                                                                    
IN	18159	00450394	Tipton County	15936	6998	674797764	68029	     260.541	       0.026	 40.310229	 -86.056207                                                                                             
IN	18161	00450395	Union County	7516	3239	417568462	10238544	     161.224	       3.953	 39.623111	 -84.925152                                                                                            
IN	18163	00450396	Vanderburgh County	179703	83003	604697995	7393314	     233.475	       2.855	 38.020070	 -87.586166                                                                                    
IN	18165	00450397	Vermillion County	16212	7488	665311750	7904759	     256.878	       3.052	 39.854045	 -87.462071                                                                                       
IN	18167	00450398	Vigo County	107848	46006	1044574633	18486867	     403.313	       7.138	 39.429143	 -87.390375                                                                                         
IN	18169	00450399	Wabash County	32888	14171	1068200229	22122011	     412.434	       8.541	 40.843717	 -85.795175                                                                                        
IN	18171	00450400	Warren County	8508	3680	944520687	4466123	     364.681	       1.724	 40.352658	 -87.375847                                                                                            
IN	18173	00450335	Warrick County	59689	24203	996667397	16155828	     384.815	       6.238	 38.097764	 -87.272023                                                                                        
IN	18175	00451665	Washington County	28262	12220	1330542331	7444213	     513.725	       2.874	 38.600612	 -86.104751                                                                                     
IN	18177	00450336	Wayne County	68917	31242	1040502885	6736566	     401.740	       2.601	 39.863091	 -85.006735                                                                                          
IN	18179	00450337	Wells County	27636	11659	953341217	5596420	     368.087	       2.161	 40.735273	 -85.212974                                                                                           
IN	18181	00450338	White County	24643	12970	1308266686	9206237	     505.125	       3.555	 40.750950	 -86.864293                                                                                          
IN	18183	00450369	Whitley County	33292	14281	869120901	6073420	     335.569	       2.345	 41.136426	 -85.501892                                                                                         
