county,native,asian,black,hispanic,white,twomore,other,hddall,hddblack,hddwhite,hddhispanic,hddnative,hddasian,nohsd25,noinsurance,medianincome,poverty,totalpop
Elkhart,0.1,1,5.6,14.3,76.7,1.7,0.5,374.1,460.2,375.4,NA,NA,NA,19.5,21.8,46.1,15.5,198662
Floyd,0.1,1.1,4.5,2.7,89.1,2.3,0.2,383.2,NA,385,NA,NA,NA,11.9,13.7,55.8,13.1,75120
LaGrange,0,0,0,3.6,94.8,1.2,0.4,383.4,NA,385.2,NA,NA,NA,37.8,26.4,51.8,12.7,37463
Putnam,0.4,0.8,3.9,1.6,92.3,0.7,0.3,384.3,NA,389.8,NA,NA,NA,14,15.4,51,13.2,37799
Fountain,0.3,0.2,0.3,2.2,96,0.7,0.2,385.5,NA,391.1,NA,NA,NA,14.5,15,42.7,13.8,17108
Jasper,0,0.1,0.7,5.4,92.4,1.1,0.2,385.7,NA,394.6,NA,NA,NA,12.8,14.5,53.7,10.7,33398
Clinton,0.1,0,0.7,13.7,84.8,0.4,0.2,387.6,NA,390.2,NA,NA,NA,15.2,19,47.2,14.4,33086
Johnson,0.1,1.8,1.5,3.1,91.5,1.3,0.7,388,NA,393.1,NA,NA,NA,8.9,12.6,58.9,11.8,141796
DeKalb,0,0.5,0,2.5,95.5,1.1,0.4,388.9,NA,389.2,NA,NA,NA,12,15.3,50.2,12.9,42253
Howard,0.2,1.1,7,2.7,86.8,1.8,0.4,395,542.7,392,NA,NA,NA,11.2,14.4,45.2,15.8,82795
Knox,0,0.3,2.8,1.6,93.6,1.3,0.4,397.5,NA,401.1,NA,NA,NA,13.8,16.7,44,15.9,38266
Washington,0.1,0.1,0.3,1.2,97.3,0.8,0.2,400.5,NA,403.5,NA,NA,NA,19.9,18.6,43.9,15.5,28064
Tipton,0,0.1,0.2,2.3,96,1.1,0.3,401.1,NA,401.3,NA,NA,NA,11.2,14.1,53.1,10.3,15834
Crawford,1.1,0,0.3,1.3,96.6,0.4,0.2,401.3,NA,405.6,NA,NA,NA,19.1,17.8,38,19.3,10656
LaPorte,0.2,0.5,10.5,5.6,81,1.8,0.4,401.9,407.9,40.4,NA,NA,NA,13.5,15.4,46.6,17,111310
Perry,0.3,0.1,2.9,0.5,94.8,1.1,0.3,403.7,NA,409.9,NA,NA,NA,16,15.2,45.7,14.2,19450
Shelby,0.1,0.7,1.1,3.7,93,0.7,0.6,404.8,NA,405.1,NA,NA,NA,14.4,16,49.6,12.6,44511
Parke,0.1,0.1,2.5,1.2,95.2,0.5,0.3,405.8,NA,408.6,NA,NA,NA,17.2,17.8,41.9,17.2,17210
Scott,0,0,1,1.5,96.8,0.4,0.2,408.3,NA,414.6,NA,NA,NA,21.2,15.6,43.6,17,24036
Montgomery,0.2,0.3,1,4.5,92.6,1,0.4,410.1,NA,415.1,NA,NA,NA,12.1,17,50.8,12.5,38215
Jay,0.1,0,0.2,2.8,95.6,1,0.3,411.8,NA,418.3,NA,NA,NA,15.9,16.5,41.8,16,21333
Owen,0.3,0.5,0.4,1,97,0.5,0.2,414.8,NA,418.5,NA,NA,NA,16.8,18.3,42.9,15,21467
Clay,0.1,0.1,0.3,1.1,97,1.1,0.3,416.4,NA,420.4,NA,NA,NA,13.4,15.4,47,15,26865
Newton,0,0.3,0.2,5.3,92.9,1.1,0.2,417.4,NA,421.1,NA,NA,NA,14.5,17.3,53.7,11.4,14151
Vigo,0.2,1.8,6.4,2.3,86.5,2.5,0.2,417.9,419.5,422.6,NA,NA,NA,13.3,15.8,39,23.9,108084
Greene,0.1,0.3,0.2,1,97.3,0.8,0.3,418.1,NA,417.6,NA,NA,NA,15.4,16.4,43.7,13.7,33001
Switzerland,0.1,0,0.2,1.4,96.9,1.1,0.2,421.1,NA,425.9,NA,NA,NA,17.5,18.1,43.2,19.9,10534
Pulaski,0,0.4,0.1,2.6,95.2,1.5,0.2,439,NA,437.1,NA,NA,NA,14.7,16.6,44.8,14.3,13253
Fayette,0,0.2,1.3,1,96.1,1.1,0.3,440.5,NA,444.6,NA,NA,NA,22.6,16.9,40.2,17.3,24112
Lawrence,0.1,0.5,0.3,1.3,96.4,1.1,0.2,441.9,NA,445.1,NA,NA,NA,15.9,16.5,44.4,12.9,46053
Decatur,0,0.8,0.4,1.7,96,0.9,0.1,446.2,NA,449.4,NA,NA,NA,12.8,15.7,47.6,12.9,25939
Morgan,0,0.5,0.3,1.2,96.6,1,0.4,446.7,NA,450.9,NA,NA,NA,12.5,14.2,56.4,12.7,69217
Rush,0,0.1,0.9,1.1,96.7,0.8,0.4,456,NA,459.3,NA,NA,NA,12.9,15.4,46.9,12.8,17257
Jefferson,0.1,0.7,2,2.3,93.6,0.9,0.4,458,NA,463.6,NA,NA,NA,16,16.8,44.5,15.3,32449
Sullivan,0.1,0.1,4.9,1.5,92.6,0.5,0.3,476,NA,477.4,NA,NA,NA,14.7,16.5,41.9,18.3,21321
Fulton,0.2,0.2,1,4.4,92.9,1,0.2,482.9,NA,488,NA,NA,NA,15.8,18.1,44.3,16.3,20698
Starke,0,0.3,0.3,3.3,94.8,1.1,0.2,485.4,NA,491,NA,NA,NA,17.7,17.1,39.5,19.4,23267
Union,0,0.4,0.4,0.4,96.6,1.9,0.2,493.4,NA,493.1,NA,NA,NA,14.6,16.1,45.4,13.1,7420
Miami,0.9,0.1,4.8,2.4,90.1,1.3,0.4,510.5,NA,519.3,NA,NA,NA,16.7,15.9,43.6,17.7,36624
Vermillion,0.4,0.1,0.1,0.9,97.4,0.6,0.5,551.6,NA,553,NA,NA,NA,10.8,15.2,40.8,13.9,16098
